EntityRegistrantme;EntityCentralIndexKey;standardIndustrialClassification;DocumentFiscalYearFocus;ETR;Tax_Credit_Total;NetIncomeAvailableToCommonStockholdersBasic;NonoperatingIncomeLossPlusInterestAndDebtExpense;IncomeFromContinuingOperationsBeforeTax;Tax_Settlement_Total;Federal_Income;OtherComprehensiveIncome;ComprehensiveIncomeAttributableToNoncontrollingInterest;NetIncomeAttributableToParent;CostsAndExpenses;Foreign_Income;IncomeFromEquityMethodInvestments;Other_Reconciling_Total;State_Local_Income;OperatingIncomeLoss;OtherOperatingIncome;GrossProfit;PreferredStockDividendsAndOtherAdjustments;IncomeFromDiscontinuedOperations;ComprehensiveIncome;Revenues;IncomeTaxExpenseBenefit;NondeductibleExpense_Total;OperatingExpenses;ComprehensiveIncomeAttributableToParent;NetIncomeAttributableToNoncontrollingInterest;NetIncomeLoss;Tax_Contingency_Total;IncomeBeforeEquityMethodInvestments;Deduction_Total;ExtraordaryItemsGainLoss;IncomeFromContinuingOperationsAfterTax;CostOfRevenue
Owens Corning;1370946;ABRASIVE ASBESTOS & MISC NONMETALLIC MINERAL PRODUCTS [3290];2013;-0.7;;204000000;;273000000;;;;1000000;204000000;;-1.10E+07;;-5000000;2000000;;;966000000;;;271000000;;68000000;;581000000;271000000;1000000;205000000;;273000000;;;;
Information Services Group Inc.;1371489;SERVICES-MAGEMENT CONSULTING SERVICES [8742];2013;0.472;;4776000;;9043000;;3165000;;;;;;;;145000;11701000;;;;;4371000;210982000;4267000;;;4371000;;4776000;;9043000;;;;123985000
CBOE Holdings  Inc.;1374310;SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES [6200];2013;0.38;;173863000;;283656000;;;;;175999000;;;-2221000;;;285814000;;;;;175842000;572050000;107657000;;286236000;173706000;;175999000;;;;;;
UR-ENERGY INC;1375205;GOLD & SILVER ORES [1040];2013;;;-30353000;;-30353000;;;-36724000;;-30353000;;-161000;-1022000;;;-23352000;;4520000;;;;7616000;;108000;;;;-30353000;;-30353000;;;;3096000
Super Micro Computer  Inc.;1375365;ELECTRONIC COMPUTERS [3571];2014;0.32;;54121000;;79594000;;;;;54157000;;;;;;80259000;;225545000;;;54163000;1467202000;25437000;;145286000;54163000;-6000;54151000;;79594000;;;;1241657000
Guidance Software  Inc.;1375557;SERVICES-PREPACKAGED SOFTWARE [7372];2013;;;-21500000;;-21283000;;-7236000;;;-21500000;;53000;;;-1302000;-21307000;;73004000;;;;110524000;217000;;94311000;;;-21500000;;-21283000;;;;37520000
Lithium Exploration Group  Inc.;1375576;METAL MINING [1000];2014;;;;;-7701164;;;;-336533;-7364631;;;18053;;;-2186419;;;;;-7713351;35285;0;;2221704;-7376818;-336533;-7701164;;-7701164;;;;
TREMOR VIDEO INC.;1375796;SERVICES-ADVERTISING AGENCIES [7311];2013;0.0155;;-29365000;;-13310000;;;;;-13516000;;;;;;-13522000;;53871000;;;-29515000;131796000;206000;;67393000;-29515000;;-13516000;;-13310000;;;;77925000
CVR ENERGY INC;1376139;PETROLEUM REFINING [2911];2013;;;370700000;;705700000;;2.47E+08;600000;151500000;;;;;-800000;16500000;710500000;;;;;522600000;;183700000;;;371100000;151300000;522000000;;705700000;;;;
MIMEDX GROUP  INC.;1376339;SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841];2013;-0.0248;;-4111853;;-4012239;;;;;-4111853;;;;;;-2638567;;49852620;;;;;99614;;;;;-4111853;;-4012239;;;;9328114
CareView Communications Inc;1377149;RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT [3663];2013;;;-14518305;;-14567022;;-5098458;;;-14567022;;;;;3740;-6614683;;;;;;2068771;;;8683454;;-48717;-14567022;;-14567022;;;;
AVIAT NETWORKS  INC.;1377789;RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT [3663];2014;-0.03;;-51200000;;-50600000;;;;;-51200000;;;;;;-50700000;;85100000;;900000;-50800000;346000000;1500000;;135800000;-50800000;;-51200000;;-50600000;;;;88200000
TRAVELCENTERS OF AMERICA LLC;1378453;RETAIL-AUTO DEALERS & GASOLINE STATIONS [5500];2013;;1101000;29666000;;2331000;;1752000;;;31623000;;19000;2674000;;938000;21190000;;;;;31158000;;-26618000;1643000;1131637000;31158000;;31623000;;2331000;;;;
Cellular Biomedicine Group  Inc.;1378624;FINCE SERVICES [6199];2013;;;;;-13452587;;;;;-13797033;;;;;;-13126555;;;;;-13916583;;344446;;17196055;-13916583;;-13797033;;;;;;
Wesco Aircraft Holdings  Inc;1378718;WHOLESALE-HARDWARE [5072];2014;0.3493;;102102000;;156908000;;54917000;-633000;;;;-5707000;-141000;;2221000;183934000;;418431000;;;101469000;1355877000;54806000;1114000;;101469000;;102102000;-677000;156908000;;;;937446000
Sentio Healthcare Properties Inc;1378774;REAL ESTATE INVESTMENT TRUSTS [6798];2013;;;1888000;;;;;;;1888000;52414000;;-73000;;;9441000;;;;;;61855000;;;;;322000;2454000;;;;;;
People's United Fincial  Inc.;1378946;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2013;0.315;8500000;231200000;;339100000;;118700000;-58200000;;232400000;;;;;;;;;;;174200000;1004400000;106700000;;;174200000;;232400000;;339100000;;;;
U.S. Auto Parts Network  Inc.;1378950;RETAIL-AUTO & HOME SUPPLY STORES [5531];2013;-0.003;;-15818000;;-15591000;;-5301000;;;-15634000;;70000;;;-1348000;-14767000;;74133000;;;-15572000;254753000;43000;;88900000;-15572000;;-15634000;;;;;;180620000
BERRY PLASTICS GROUP INC;1378992;PLASTICS PRODUCTS, NEC [3089];2014;;;62000000;;67000000;;2.30E+07;37000000;-1000000;62000000;;-1.00E+06;;-1000000;5000000;316000000;;;;;38000000;;4000000;;;37000000;1000000;63000000;;;;;;
Employers Holdings  Inc.;1379041;FIRE, MARINE & CASUALTY INSURANCE [6331];2013;;;63824000;;53174000;;18611000;-39131000;;63824000;;;;;;;;;;;24693000;723581000;-10650000;;670407000;24693000;;63824000;;53174000;;;;
Targa Resources Partners LP;1379661;TURAL GAS TRANSMISSION [4922];2013;;;;;261500000;;;-20900000;25100000;;;;14800000;;;377200000;;1177700000;;;237700000;-21200000;2900000;;376200000;212600000;25100000;233500000;;261500000;;;;
Fortress Investment Group LLC;1380393;INVESTMENT ADVICE [6282];2013;0.2471;;197082000;;549392000;;;;285243000;200447000;;;136866000;;;;;;;;486955000;1264983000;65801000;;897603000;201712000;283144000;483591000;;;;;;
HFF  Inc.;1380509;LESSORS OF REAL PROPERTY, NEC [6519];2013;0.402;;51426000;;86004000;;30101000;;;51426000;285628000;;;;3967000;69977000;;;;;;355605000;34578000;;;;;51426000;;86004000;;;;202542000
TriState Capital Holdings  Inc.;1380846;STATE COMMERCIAL BANKS [6022];2013;;;12867000;;18580000;;6503000;-3415000;;12867000;;;;;;;;;0;;9452000;72851000;5713000;;;9452000;;12867000;;18580000;;;;
TFS FINCIAL CORPORATION;1381668;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2014;;;65507000;;98857000;;;-2188000;;65891000;;;;;;;;;;;63703000;374684000;32966000;;;63703000;;65891000;;98857000;;;;
ESSA Bancorp  Inc.;1382230;SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED [6036];2014;0.115;140000;8504000;;11395000;;3874000;-1344000;;8504000;;;;;;;;;;;7160000;50776000;2891000;;;7160000;;8504000;;11395000;;;;
Orexigen Therapeutics  Inc.;1382911;PHARMACEUTICAL PREPARATIONS [2834];2013;;;-77671000;;;;-27184000;;;-77671000;;;;;-4242000;-77198000;;;;;-77689000;3428000;;;80626000;-77689000;;-77671000;2629000;;;;;
BROADRIDGE FINCIAL SOLUTIONS  INC.;1383312;SERVICES-BUSINESS SERVICES, NEC [7389];2014;0.335;;;;395500000;;138400000;269100000;;;;-7500000;;;4000000;;;;;0;269100000;;132500000;;;269100000;;263000000;;395500000;;;;1761400000
VERACYTE  INC.;1384101;SERVICES-MEDICAL LABORATORIES [8071];2013;;502000;-25580000;;-25600000;;-8697000;;;;;;;;11000;-23173000;;;;;;21884000;;1145000;45057000;;;-25580000;;;;;;12607000
TE Connectivity Ltd.;1385157;WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC [5065];2014;;9000000;1781000000;;1996000000;;6.99E+08;-320000000;;;;-3.15E+08;;;-1000000;2045000000;;;;-8000000;1461000000;;207000000;7000000;;1461000000;;1781000000;;;;;;
Cinemark Holdings  Inc.;1385280;SERVICES-MOTION PICTURE THEATERS [7830];2013;;;146940000;;;;92353000;-44203000;1996000;148470000;;-336000;22682000;;789000;415491000;131581000;;;;106345000;;113316000;;;104349000;2078000;150548000;;;;;;
GREENLIGHT CAPITAL RE  LTD.;1385613;FIRE, MARINE & CASUALTY INSURANCE [6331];2013;;;225699000;;233006000;;;;;225699000;;;;;;;;;;;;765089000;538000;;;;;232468000;;233006000;;;;
GREEN DOT CORP;1386278;FINCE SERVICES [6199];2013;0.351;;28680000;;;;;-153000;;34040000;;;;;;49132000;;;5360000;;33887000;573621000;18460000;;524489000;33887000;;34040000;;;;;;
Research Solutions  Inc.;1386301;SERVICES-BUSINESS SERVICES, NEC [7389];2014;0.009;;-1866418;;-1850319;;;;;-1866418;;;;;;-1778834;;8346297;;0;-1926326;36550910;16099;;10125131;-1926326;;-1866418;;;;;;0
ChromaDex Corp.;1386570;MEDICIL CHEMICALS & BOTANICAL PRODUCTS [2833];2013;;;;;;;-1503000;;;-4419525;;;;;-189000;-4386446;;3133136;;;;;;117000;7519582;;;-4419525;;;;;;7027828
KKR Fincial Holdings LLC;1386926;FINCE SERVICES [6199];2013;0.415;;265819000;;293697000;;102794000;54574000;;293230000;305705000;;;;-464000;;;;904000;;347804000;545906000;467000;;2859000;347804000;;293230000;;293697000;;;;
Behringer Harvard Opportunity REIT II  Inc.;1387061;REAL ESTATE INVESTMENT TRUSTS [6798];2013;;;8729000;;-17370000;;;385000;4890000;8729000;60933000;;0;;;;;;;31159000;13991000;43389000;183000;;;9101000;4877000;13606000;;-17370000;;;;
ALPHA & OMEGA SEMICONDUCTOR Ltd;1387467;SEMICONDUCTORS & RELATED DEVICES [3674];2014;-8.875;;-3308000;;-335000;;;;;-3308000;;;;;;-193000;;59071000;;;-3232000;;2973000;;59264000;-3232000;;-3308000;;-335000;;;;259050000
ShoreTel Inc;1388133;TELEPHONE & TELEGRAPH APPARATUS [3661];2014;;590000;;;-450000;;-153000;;;-1036000;;;;403000;337000;830000;;201921000;;;-1033000;339792000;586000;;201091000;-1033000;;-1036000;;;;;;16866000
Targa Resources Corp.;1389170;TURAL GAS TRANSMISSION [4922];2013;;;65100000;;249500000;;38800000;-19600000;-118300000;65100000;;;14800000;;4400000;368200000;9600000;1177500000;;;181800000;;48200000;;376300000;63500000;136200000;65100000;;249500000;;;;
Howard Bancorp Inc;1390162;STATE COMMERCIAL BANKS [6022];2013;0.334;;1796000;;2945000;;;;;1961000;;;;;;;;;;;;17711000;984000;;;;;1961000;;2945000;;;;
CORPORATE PROPERTY ASSOCIATES 17 - GLOBAL INC;1390213;REAL ESTATE INVESTMENT TRUSTS [6798];2013;;;;;61419000;;;30809000;30023000;39864000;217039000;;-7917000;;;;21872000;;;7487000;99978000;362954000;-263000;;;69955000;29305000;69169000;;;;;;
Bancorp of New Jersey  Inc.;1390312;STATE COMMERCIAL BANKS [6022];2013;;;4654000;;7709000;;2621000;;;;;;;;428000;;;;;;2713000;24797000;3055000;;;2713000;;4654000;;7709000;;;;
Gale Biopharma  Inc.;1390478;PHARMACEUTICAL PREPARATIONS [2834];2013;;240000;;;-75626000;;-25713000;-78304000;;-76678000;;;;;-3676000;-33840000;;;;0;;2487000;1052000;;36327000;;;-76678000;;-75626000;;;;520000
Bank of New York Mellon CORP;1390777;STATE COMMERCIAL BANKS [6022];2013;0.409;;2047000000;;;;;-208000000;;2111000000;;;;;;;;;;;1862000000;;1520000000;;;1862000000;81000000;;;;;;;
WABCO Holdings Inc.;1390844;MOTOR VEHICLES & PASSENGER CAR BODIES [3711];2013;;;;;;-400000;224300000;;;;;-93900000;;;;;;;;;;;;;;;;;;;;;;
LIMELIGHT NETWORKS  INC.;1391127;SERVICES-BUSINESS SERVICES, NEC [7389];2013;-0.01;;;;-34589000;;-12106000;-954000;;-35402000;;221000;;;80000;-39477000;;61708000;;-426000;-36356000;173433000;387000;-783000;101185000;-36356000;;-35402000;;-34589000;;;;111725000
QUAINT OAK BANCORP INC;1391933;SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED [6036];2013;;;702000;;1119000;;380000;;;702000;;;;;28000;;;;;;624000;6290000;417000;;;624000;;702000;;1119000;;;;
Blueknight Energy Partners  L.P.;1392091;PIPE LINES (NO TURAL GAS) [4610];2013;;;28035000;;32011000;;;;;28035000;;;-502000;;;44128000;;;;-3383000;;194671000;593000;;151092000;;;28035000;;;;;;
Chi Advanced Construction Materials Group  Inc;1392363;CONSTRUCTION SPECIAL TRADE CONTRACTORS [1700];2014;;;;;-14201802;;;;;-16647092;;;;;;-17184321;;4623106;;;-16288177;48690837;2445290;;;-16288177;;-16647092;;-14201802;;;;44067731
Green Planet Bio Engineering Co. Ltd.;1392449;BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836];2013;;;-34409;;;;;;;-34409;;;;;;;;;;;;;0;;;;;11699;;;;;;
PROS HOLDINGS  INC.;1392972;SERVICES-COMPUTER PROGRAMMING SERVICES [7371];2013;-0.05;2030000;3446000;;3273000;;1113000;0;;3446000;;;;;-583000;3538000;;101702000;;;3446000;144837000;-173000;235000;;3446000;;3446000;;3273000;;;;43135000
RESOLUTE FOREST PRODUCTS INC.;1393066;PAPER MILLS [2621];2013;;;;;-115000000;;-4.00E+07;343000000;0;-639000000;;-4.00E+06;3000000;;-3000000;-2000000;;;;;-296000000;;524000000;;;-296000000;0;-639000000;-2000000;;;;;
Discover Fincial Services;1393612;PERSOL CREDIT INSTITUTIONS [6141];2013;0.374;;;;;;;;;;;;-18000000;;;;;;;;;;1474000000;;;;;;;;;;;
BLACKSTONE GROUP L.P.;1393818;INVESTMENT ADVICE [6282];2013;0.081;;1171202000;;;;;;;1171202000;;;591900000;;;;;;;;;;255642000;;;1172498000;-381872000;;;;;;;
SPECTRA ENERGY PARTNERS  LP;1394074;TURAL GAS TRANSMISSION [4922];2013;;;;;738000000;;;-8000000;16000000;1070000000;992000000;;89000000;;;973000000;;;;;1078000000;1965000000;-348000000;;603000000;1062000000;16000000;1086000000;;;;;;
CREATIVE LEARNING Corp;1394638;SERVICES-EDUCATIOL SERVICES [8200];2013;;;;;960029;;;;;947955;;;;;;1045757;;;;;;4820719;12073;;3774962;;;947956;;;;;;
KAR Auction Services  Inc.;1395942;RETAIL-AUTO DEALERS & GASOLINE STATIONS [5500];2013;0.546;;67700000;;149200000;;;;;67700000;1916600000;;;;;256700000;;;;;51300000;;81500000;;;51300000;;67700000;;149200000;;;;
Lumber Liquidators Holdings  Inc.;1396033;RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS [5211];2013;0.388;;77395000;;126465000;;44263000;;;77395000;;328000;;;4146000;126023000;;410983000;;;76760000;1000240000;49070000;;;76760000;;77395000;;126465000;;;;589257000
HHGREGG  INC.;1396279;RETAIL-RADIO TV & CONSUMER ELECTRONICS STORES [5731];2014;;;;;222000;;78000;;;228000;;;;-133000;49000;2677000;;664539000;;;;;-6000;;;;;228000;;222000;;;;1674031000
Pacira Pharmaceuticals  Inc.;1396814;PHARMACEUTICAL PREPARATIONS [2834];2013;0.0069;;;;-64351000;;;;;-63909000;;;;;;-53289000;;;;;-63931000;85551000;-442000;;138840000;-63931000;;-63909000;;;;;;54772000
lululemon athletica inc.;1397187;APPAREL & OTHER FINISHED PRODS OF FABRICS & SIMILAR MATERIAL [2300];2013;0.296;;279547000;;397126000;;;;;279547000;;;;;;391358000;;840076000;;;190389000;1591188000;117579000;;;190389000;0;279547000;;397126000;;;;751112000
LPL Fincial Holdings Inc.;1397911;SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES [6200];2013;0.376;;181857000;;291303000;;;115000;;181857000;;;;;;;;;;;181972000;;109446000;;;181972000;;181857000;;;;;;
GENPACT LTD;1398659;SERVICES-MAGEMENT CONSULTING SERVICES [8742];2013;;;229717000;14568000;305982000;;107153000;-141239000;;229717000;;;169000;;;309527000;;812426000;;;;2131997000;71100000;5637000;;;5334000;235051000;;305982000;;;;1319571000
Point.360;1398797;SERVICES-ALLIED TO MOTION PICTURE PRODUCTION [7819];2014;0;;-2650000;;-2647000;;;;;-2650000;;;;;;-2950000;;8386000;;;;25733000;3000;;;;;-2650000;;-2647000;;;;17347000
Envision Solar Intertiol  Inc.;1398805;SERVICES-ENGINEERING SERVICES [8711];2013;;;;;-2792310;;-949929;;;-2793910;;;;;-173132;-2434671;;-244538;;;;281014;1600;;;;;-2793910;;;;;;525552
Pze Investment Magement  Inc.;1399249;INVESTMENT ADVICE [6282];2013;0.012;;6670000;;49027000;;16669000;;;6670000;;;;444000;3775000;50848000;;;;;;95769000;589000;;44921000;;41768000;48438000;;;;;;
tiol American University Holdings  Inc.;1399855;SERVICES-EDUCATIOL SERVICES [8200];2014;0.399;;;;5774000;;;-10000;;3485000;;;;;;6253000;;;;;3475000;127753000;2306000;;121500000;3475000;-17000;3468000;;5774000;;;;
Francesca's Holdings CORP;1399935;RETAIL-APPAREL & ACCESSORY STORES [5600];2013;0.393;;44839000;;73890000;;;;;44839000;;;;;;74270000;;176065000;;;;;29051000;;;;;44839000;;;;;;
HCI Group  Inc.;1400810;FIRE, MARINE & CASUALTY INSURANCE [6331];2013;0.384;;65458000;;106453000;;37258000;-506000;;65562000;;;;;3802000;;;;104000;;65056000;241088000;40891000;;134635000;65056000;;65562000;;106453000;;;;
FORUM ENERGY TECHNOLOGIES  INC.;1401257;OIL & GAS FILED MACHINERY & EQUIPMENT [3533];2013;0.304;;;;186082000;;65129000;;-72000;129539000;;-6908000;7312000;;3428000;209554000;;475225000;;;137352000;1524811000;56478000;1341000;272983000;137424000;65000;129604000;;186082000;;;;1049586000
United Insurance Holdings Corp.;1401521;FIRE, MARINE & CASUALTY INSURANCE [6331];2013;;;20342000;;34487000;;12070000;;;20342000;173594000;;;;1140000;34486000;;;;;17821000;208080000;14145000;;9222000;17821000;;20342000;;34487000;;;;
First Fincial Northwest  Inc.;1401564;SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED [6036];2013;;;24465000;;;;3823000;-2768000;;24465000;;;;-16000;;;;;;;21697000;;-13543000;;;21697000;;24465000;;;;;;
CORNERSTONE ONDEMAND INC;1401680;SERVICES-PREPACKAGED SOFTWARE [7372];2013;;;-40426000;;-40554000;;-13784000;133000;;-40426000;;1354000;;;-415000;-33992000;;131581000;;;-40293000;185129000;-128000;;165573000;-40293000;;-40426000;;-40554000;;;;53548000
NOSTRING TECHNOLOGIES INC;1401708;BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836];2013;;893000;-33934000;;-29281000;;-9955000;22000;;-29281000;59900000;;;-85000;;-28497000;;;;;-29259000;31403000;;-32000;;-29259000;;-29281000;;-29281000;;;;15009000
CDW Corp;1402057;RETAIL-CATALOG & MAIL-ORDER HOUSES [5961];2013;0.321;;132800000;;195500000;;68400000;;;132800000;;-1400000;;;-5000000;508600000;;1760300000;;;126100000;;62700000;;;126100000;;132800000;;;;;;
FLUOROPHARMA MEDICAL  INC.;1402785;IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES [2835];2013;;;;;-21352535;;;;;-21352535;;;;;;;;;;;;;;;21339538;;;-24174622;;-21352535;;;;
VISA INC.;1403161;SERVICES-BUSINESS SERVICES, NEC [7389];2014;0.3;;;;;;2.70E+12;-38000000;0;;;-2.78E+08;;-78000000;129000000;;;;;;;;;;;;0;;;;;;;
Heritage-Crystal Clean  Inc.;1403431;SANITARY SERVICES [4950];2013;0.425;;4545000;;8073000;;2745000;;;4545000;234638000;;;;508000;8490000;;;;;;283136000;3428000;;;;100000;4645000;;8073000;;;;
Bank of Marin Bancorp;1403475;STATE COMMERCIAL BANKS [6022];2013;0.357;;14270000;;22209000;;;;;14270000;;;;;;;;;;;11543000;60560000;7939000;;;11543000;;14270000;;22209000;;;;
Samson Oil & Gas LTD;1404079;DRILLING OIL & GAS WELLS [1381];2014;;;-2413173;;-1632562;107524;-489769;;;-2413173;15373169;;;;-14204;;;;;;-3089327;13740607;780611;;;-3089327;;-2413173;;-1632562;;;;
Atlantic Coast Fincial CORP;1404296;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2013;;;-11406000;;-11406000;;-3878000;;;-11406000;;;;;-414000;;;;;;-8245000;28836000;0;;;-19651000;;-11406000;;-11406000;;;;
KKR & Co. L.P.;1404912;INVESTMENT ADVICE [6282];2013;0.0048;;691226000;;;;;;;691226000;;;;;;;;;;;;;37926000;;;690433000;;;;;;;;
MetaStat  Inc.;1404943;SEMICONDUCTORS & RELATED DEVICES [3674];2014;;;;;;;;;;;;;;;;;;;;;;;;;9710834;;;-10727675;;;;;;
Momentive Performance Materials Inc.;1405041;INDUSTRIAL ORGANIC CHEMICALS [2860];2013;0.35;;;;-363000000;0;-1.27E+08;22000000;0;-464000000;;;3000000;;0;31000000;;;;;-442000000;;104000000;;;-442000000;0;-464000000;;-363000000;;;-467000000;
United Fincial Bancorp  Inc.;1405049;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2013;0.271;;17402000;;23864000;;;-6492000;;17402000;;;;;;;;;;;10910000;94293000;6462000;;;10910000;;17402000;;23864000;;;;
United Fincial Bancorp  Inc.;1405049;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2013;0.271;;17402000;;23864000;;;-6492000;;17402000;;;;;;;;;;;10910000;94293000;6462000;;;10910000;;17402000;;23864000;;;;
United Fincial Bancorp  Inc.;1405049;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2013;0.271;;17402000;;23864000;;;-6492000;;17402000;;;;;;;;;;;10910000;94293000;6462000;;;10910000;;17402000;;23864000;;;;
United Fincial Bancorp  Inc.;1405049;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2013;0.271;;17402000;;23864000;;;-6492000;;17402000;;;;;;;;;;;10910000;94293000;6462000;;;10910000;;17402000;;23864000;;;;
United Fincial Bancorp  Inc.;1405049;SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED [6036];2013;0.271;;17402000;;23864000;;;-6492000;;17402000;;;;;;;;;;;10910000;94293000;6462000;;;10910000;;17402000;;23864000;;;;
United Fincial Bancorp  Inc.;1405049;SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED [6036];2013;0.271;;17402000;;23864000;;;-6492000;;17402000;;;;;;;;;;;10910000;94293000;6462000;;;10910000;;17402000;;23864000;;;;
United Fincial Bancorp  Inc.;1405049;SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED [6036];2013;0.271;;17402000;;23864000;;;-6492000;;17402000;;;;;;;;;;;10910000;94293000;6462000;;;10910000;;17402000;;23864000;;;;
United Fincial Bancorp  Inc.;1405049;SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED [6036];2013;0.271;;17402000;;23864000;;;-6492000;;17402000;;;;;;;;;;;10910000;94293000;6462000;;;10910000;;17402000;;23864000;;;;
Approach Resources Inc;1405073;CRUDE PETROLEUM & TURAL GAS [1311];2013;;;72256000;;114763000;;40167000;;;72256000;137710000;34000;;;709000;43592000;;;;;;;42507000;;;;;72256000;;114763000;;;;
INTERDIGITAL  INC.;1405495;PATENT OWNERS & LESSORS [6794];2013;;0;35683000;;61519000;;21538000;;;35683000;240605000;0;;2153000;2536000;84756000;;;;;37287000;325361000;25836000;;;34805000;-2482000;38165000;0;61519000;;;;
NGA Holdco  LLC;1405621;INVESTORS, NEC [6799];2014;0.0406;46254;3854479;;4017720;;1406202;;;3854479;;;3774862;;;;;;;;4156355;;163241;0;;4156355;;3854479;;;;;;
Abtech Holdings  Inc.;1405858;MISCELLANEOUS METAL ORES [1090];2013;;;;;-5930558;;;;;-5262004;;;;;;-5787151;;54066;;;;461296;0;;5841217;;-668554;-5930558;;-5930558;;;;407230
FORESTAR GROUP INC.;1406587;REAL ESTATE [6500];2013;0.17;;28736000;;42269000;;;;;29321000;289629000;;8737000;;;46577000;;;;;29321000;331045000;7208000;;;29321000;5740000;35061000;;;;;;
CALIX  INC;1406666;COMMUNICATION SERVICES, NEC [4899];2013;0.001;;;;-17279000;;;58000;;;;;;;;-18453000;;171074000;;;-17207000;382618000;-14000;;189527000;;;-17265000;;-17279000;;;;211544000
Violin Memory Inc;1407190;COMPUTER STORAGE DEVICES [3572];2014;;;-149809000;;-149733000;;-52406000;;;-149809000;;;;;11000;-146805000;;42883000;;;-149687000;107656000;76000;470000;189688000;-149687000;;-149809000;;-149733000;;;;64773000
GRAPHIC PACKAGING HOLDING CO;1408075;PAPERBOARD CONTAINERS & BOXES [2650];2013;0.317;29400000;146600000;;212600000;;74400000;123100000;500000;146600000;;-2900000;1500000;;7700000;341600000;;725600000;;;270200000;;67400000;;;269700000;100000;146700000;0;212600000;;;;
Kennedy-Wilson Holdings  Inc.;1408100;REAL ESTATE [6500];2013;;;-14500000;;16500000;;5600000;-3400000;20300000;-6400000;149100000;2300000;28800000;;;15400000;;;8100000;-300000;10500000;121200000;2900000;;131700000;-9800000;20300000;13900000;;16500000;;;;
Sycor  Inc.;1408278;SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC. [7370];2013;-0.14;;-1367000;;-940000;;-320000;8000;;-1367000;112517000;-3000;-561000;;-75000;-710000;;;;;-1359000;111807000;-134000;;;-1359000;;-1367000;0;;;;;59622000
First Guaranty Bancshares  Inc.;1408534;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2013;;;8433000;;13723000;;4803000;;;9146000;;;;-93000;;;;;;;-6036000;50886000;4577000;;;-6036000;;9146000;;13723000;;;;
FABRINET;1408710;TELEPHONE & TELEGRAPH APPARATUS [3661];2014;;;91731000;;93170000;;18634000;;;91731000;;-2000;;7000;;91317000;;74233000;;;91731000;677854000;1439000;;;91731000;;91731000;;93170000;;;;603621000
Titan Machinery Inc.;1409171;RETAIL-RETAIL STORES, NEC [5990];2014;0.56;;8722000;;18429000;;;1621000;-200000;8851000;;;;;;46875000;;348074000;;;9725000;;10325000;;291202000;9925000;-747000;8104000;;18429000;;;;1878372000
CHIMERA INVESTMENT CORP;1409493;REAL ESTATE INVESTMENT TRUSTS [6798];2013;;;362686000;;362688000;;;867000;;362686000;;;;;;;;;;;363553000;;2000;;;363553000;;362686000;;;;;;
LENDINGCLUB CORP;1409970;FINCE SERVICES [6199];2013;;459000;191000;;;;2485000;;;7308000;;;;;563000;;;;;;;98002000;;;90694000;;;7308000;518000;;;;;
CorMedix Inc.;1410098;PHARMACEUTICAL PREPARATIONS [2834];2013;;;-55750639;;-56141107;;;;;-55366332;;;;;;-40894734;;-199604;-384307;;;2001;-774775;;40695130;;;-55366332;;-56141107;;;;-201605
RUBICON TECHNOLOGY  INC.;1410172;SEMICONDUCTORS & RELATED DEVICES [3674];2013;-0.145;;;;-35511000;;;-865000;;-30351000;;;;;;-34884000;;-21921000;;;-31216000;;-5160000;;;-31216000;;-30351000;;-35511000;;;;63434000
Ophthotech Corp.;1410939;PHARMACEUTICAL PREPARATIONS [2834];2013;;;-184821000;;-153102000;;;;;-151775000;149666000;;;;;-149666000;;;;;;;-1327000;;;;;-151775000;;;;;;
