EntityRegistrantme;EntityCentralIndexKey;standardIndustrialClassification;DocumentFiscalYearFocus;ETR;Tax_Credit_Total;NetIncomeAvailableToCommonStockholdersBasic;NonoperatingIncomeLossPlusInterestAndDebtExpense;IncomeFromContinuingOperationsBeforeTax;Tax_Settlement_Total;Federal_Income;OtherComprehensiveIncome;ComprehensiveIncomeAttributableToNoncontrollingInterest;NetIncomeAttributableToParent;CostsAndExpenses;Foreign_Income;IncomeFromEquityMethodInvestments;Other_Reconciling_Total;State_Local_Income;OperatingIncomeLoss;OtherOperatingIncome;GrossProfit;PreferredStockDividendsAndOtherAdjustments;IncomeFromDiscontinuedOperations;ComprehensiveIncome;Revenues;IncomeTaxExpenseBenefit;NondeductibleExpense_Total;OperatingExpenses;ComprehensiveIncomeAttributableToParent;NetIncomeAttributableToNoncontrollingInterest;NetIncomeLoss;Tax_Contingency_Total;IncomeBeforeEquityMethodInvestments;Deduction_Total;ExtraordaryItemsGainLoss;IncomeFromContinuingOperationsAfterTax;CostOfRevenue
FLIR SYSTEMS INC;354908;SEARCH, DETECTION, VIGATION, GUIDANCE, AEROUTICAL SYS [3812];2015;0.209;;241686000;;305446000;;;-61717000;;241686000;;;;;;305764000;;753561000;;;179969000;1557067000;63760000;;447797000;179969000;;241686000;;305446000;;;;803506000
HOME DEPOT INC;354950;RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS [5211];2015;0.364;;;;;;3.86E+12;-446000000;;;;;;-154000000;309000000;;;;;;;;;;;;;;;;;;;
SHENDOAH TELECOMMUNICATIONS CO/VA/;354963;TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813];2015;0.404;;;;68590000;;24007000;;;40864000;;;805000;;3179000;74086000;;;;;40157000;342485000;27726000;;268399000;40157000;;40864000;;68590000;;;;121330000
HSBC Fince Corp;354964;PERSOL CREDIT INSTITUTIONS [6141];2015;-0.545;;-431000000;;-865000000;;-3.03E+08;;;-431000000;;;;;-14000000;794000000;;;;-37000000;-352000000;;-471000000;;;-352000000;;-431000000;;-865000000;;;;
FIFTH THIRD BANCORP;35527;STATE COMMERCIAL BANKS [6022];2015;0.278;;1637000000;;;;;-232000000;;1712000000;;;63000000;;;;;;;;1474000000;;659000000;;;1480000000;-6000000;1706000000;;;;;;
GENTEX CORP;355811;MOTOR VEHICLE PARTS & ACCESSORIES [3714];2015;0.313;;;;463591456;;;-12443851;;318469859;;;;;;458766439;;603776052;;;306026008;;145121597;;145009613;306026008;;318469859;;463591456;;;;939841654
RICHARDSON ELECTRONICS LTD/DE;355948;WHOLESALE-ELECTRONIC PARTS & EQUIPMENT, NEC [5065];2016;-0.088;;;;-6220000;;;;;-6766000;;;;;;-6553000;;44835000;;;-7569000;142016000;546000;;;-7569000;;-6766000;;-6220000;;;;97181000
TRICO BANCSHARES /;356171;STATE COMMERCIAL BANKS [6022];2015;0.397;;43818000;;72714000;;;425000;;43818000;;;;;;;;;;;44243000;161414000;28896000;;;44243000;;43818000;;;;;;
NEW JERSEY RESOURCES CORP;356309;TURAL GAS DISTRIBUTION [4924];2016;0.152;32491000;131672000;;145687000;;54321000;-5761000;;131672000;;;9515000;;6044000;167535000;;;;;125911000;1880905000;23530000;-5738000;1713370000;125911000;;131672000;;145687000;;;;
CHENIERE ENERGY INC;3570;TURAL GAS DISTRIBUTION [4924];2015;0.001;;;;-1097411000;;;0;-122206000;-975109000;;;;;;-449313000;;;;;-1097315000;270885000;-96000;;720198000;-975109000;-122206000;-1097315000;;;;;;
TRUSTCO BANK CORP N Y;357301;STATE COMMERCIAL BANKS [6022];2015;0.367;;42238000;;66760000;;;-272000;;42238000;;;;;;;;;;;41966000;159345000;24522000;;;41966000;;42238000;;66760000;;;;
FIRST FINCIAL BANKSHARES INC;36029;STATE COMMERCIAL BANKS [6022];2015;0.238;;100381000;;131818000;;;;;100381000;;;;;;;;;;;100287000;221623000;31437000;;;100287000;;100381000;;;;;;
FLEXSTEEL INDUSTRIES INC;37472;HOUSEHOLD FURNITURE [2510];2016;0.361;;24237000;;37927000;;;;;24237000;;;;;;38068000;;113699000;;;23745000;500106000;13690000;;;23745000;;24237000;;37927000;;;;386407000
NEXTERA ENERGY INC;753308;ELECTRIC SERVICES [4911];2015;0.308;;;;;;;-138000000;-1000000;;;;107000000;;;;;;;0;;;1228000000;;;;10000000;;;;;;;
FORD MOTOR CO;37996;MOTOR VEHICLES & PASSENGER CAR BODIES [3711];2015;0.281;;;;;;;-992000000;-2000000;;;;1818000000;;;;;;;;;;;;;;-2000000;;;;;;;
FORD MOTOR CREDIT CO LLC;38009;MISCELLANEOUS BUSINESS CREDIT INSTITUTION [6159];2015;0.347;;1363000000;;2086000000;;;-766000000;1000000;1363000000;;;;;;;;;;;597000000;;723000000;;1139000000;596000000;0;1363000000;;;;;;
FRANKLIN ELECTRIC CO INC;38725;MOTORS & GENERATORS [3621];2015;0.146;;72945000;;86300000;;;-54320000;121000;72945000;;;;;;90361000;;297608000;;;19371000;924923000;12625000;;;19250000;746000;73691000;;86300000;;;;627315000
Franklin Resources Inc;38777;INVESTMENT ADVICE [6282];2016;0.297;;1715800000;;;;874900000;-33200000;;1726700000;;-1.53E+08;56700000;-11600000;42700000;;;;;;1724500000;;742100000;;;1693500000;;1757700000;;;;;;
FRIEDMAN INDUSTRIES INC;39092;STEEL WORKS, BLAST FURCES & ROLLING & FINISHING MILLS [3310];2016;0.263;;294000;;398681;;;;;294000;81608011;;;;;23371;;;;;;;104681;;;;;294000;;;;;;76937738
G&K SERVICES INC;39648;SERVICES-PERSOL SERVICES [7200];2016;0.374;;72439000;;115805000;;;;;72439000;;;;;;122640000;;334974000;;0;52516000;978041000;43366000;;;52516000;;72439000;;115805000;;;;643067000
TEG INC;39899;NEWSPAPERS;2015;0.361;;;;622936000;;;38080000;55099000;459522000;2137787000;;-5064000;;;913158000;;;;102064000;558970000;;202314000;;;503871000;63164000;522686000;;;;;;923336000
GAP INC;39911;RETAIL-FAMILY CLOTHING STORES [5651];2015;0.375;;920000000;;1471000000;;;-80000000;;920000000;;;;;;1524000000;;;;;840000000;;551000000;;;840000000;;920000000;;1471000000;;;;
GATX Corporation;40211;TRANSPORTATION SERVICES [4700];2015;0.41;;205300000;;270300000;;94600000;;;205300000;;-6200000;45900000;;7600000;;;;;;154900000;1449900000;110900000;;1090500000;154900000;;205300000;;270300000;;;;
GENERAL DYMICS CORPORATION;40533;SHIP & BOAT BUILDING & REPAIRING [3730];2015;0.277;;;;;;;-354000000;;;;;;;;;;;;0;;;1137000000;;;;;;;;;;;
General Electric Company;40545;ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP) [3600];2015;0.792;;;;;;;1575000000;263000000;;;;;;;;;;;;;;;;;;332000000;;;;;;;
GENERAL MILLS INC;40704;GRAIN MILL PRODUCTS [2040];2016;0.314;;1697400000;;;;;;;1697400000;;;88400000;;;;;;;;1407100000;;755200000;;;1395900000;39400000;1736800000;;;;;;
AEROJET ROCKETDYNE HOLDINGS  INC.;40888;FABRICATED RUBBER PRODUCTS, NEC [3060];2015;0.018;;-16200000;;-16800000;;;;;-16200000;1675000000;;;;;33300000;;;;900000;-24200000;;300000;;;-24200000;;-16200000;;-16800000;;;;1459500000
GLATFELTER P H CO;41719;PAPER MILLS [2621];2015;0.178;;;;78576000;;;-35616000;;64575000;;;;;;96372000;;202965000;;;28959000;1666748000;14001000;;;28959000;;64575000;;;;;;1463783000
GOLDFIELD CORP;42316;WATER, SEWER, PIPELINE, COMM AND POWER LINE CONSTRUCTION [1623];2015;0.412;;;;8204095;;;;;4493142;111796087;;;;;8775084;;;;-332748;;120571171;3378205;;;;;4493142;;8204095;;;;
Graco Inc.;42888;PUMPS & PUMPING EQUIPMENT [3561];2015;0.27;;345713000;;474713000;;;-3761000;;;;;;;;302125000;;684700000;;;341952000;1286485000;129000000;;;;;345713000;;474713000;;;;601785000
GRAY TELEVISION INC;43196;TELEVISION BROADCASTING STATIONS [4833];2015;0.402;;39301000;;65749000;;23012000;;;39301000;;;;363000;2831000;140057000;;;;;42829000;597356000;26448000;1192000;457299000;42829000;;39301000;-581000;65749000;;;;
Halliburton Company;45012;OIL, GAS FIELD SERVICES, NBC [1389];2015;0.293;;-671000000;;-936000000;;;36000000;4000000;-671000000;;;;;;-165000000;;;;-5000000;-631000000;;-274000000;;;-635000000;4000000;-667000000;;;;;;
HARSCO CORP;45876;FABRICATED STRUCTURAL METAL PRODUCTS [3440];2015;0.795;;6188000;;34815000;;12185000;13928000;-2496000;6188000;1634556000;;175000;;496000;88536000;;;;-980000;20260000;1723092000;27678000;8508000;;22756000;144000;6332000;;34815000;;;;909995000
HASBRO INC;46080;GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES) [3944];2015;0.26;;;;603915000;;;-50547000;-4966000;451838000;;;;;;691933000;;;;;396325000;1971875000;157043000;;;401291000;-4966000;446872000;;;;;;1677033000
ALLIED MOTION TECHNOLOGIES INC;46129;INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGLS [3825];2015;0.282;;11074000;;15421000;;;;;;;;;;;20930000;;68772000;;;6880000;;4347000;;47842000;6880000;;11074000;;15421000;;;;163662000
BANK OF HAWAII CORP;46195;STATE COMMERCIAL BANKS [6022];2015;0.3049;;160704000;;231202000;;;;;160704000;;;;;;;;;;;163833000;432110000;70498000;;;163833000;;160704000;;;;;;
HAWKINS INC;46250;WHOLESALE-CHEMICALS & ALLIED PRODUCTS [5160];2016;0.402;;18143000;;30366000;;;;;18143000;;;;;;31171000;;80257000;;;18170000;413976000;12223000;;;18170000;;18143000;;30366000;;;;333719000
HEICO CORPORATION;46619;AIRCRAFT ENGINES & ENGINE PARTS [3724];2016;0.315;;156192000;;257050000;;;-308000;19896000;156192000;1110913000;;;;;265345000;;;;;175842000;1376258000;80900000;;;155946000;19958000;176150000;;257050000;;;;860766000
Helmerich & Payne  Inc.;46765;DRILLING OIL & GAS WELLS [1381];2016;0.271;;-58686000;;-72667000;;;;;-56828000;1650198000;;;;;-25966000;;;;-3838000;-55655000;1624232000;-19677000;;;-55655000;;-56828000;;;;;;
HERSHEY CO;47111;SUGAR & CONFECTIONERY PRODUCTS [2060];2015;0.431;;512951000;;901847000;;;-14604000;-2152000;512951000;;;;;;1037759000;;;;;498347000;;388896000;;;500499000;577000;512951000;;;;;;
HP Inc.;47217;COMPUTER & OFFICE EQUIPMENT [3570];2016;0.291;;;;;;;-217000000;;;;;;;;;;;;-170000000;;;1095000000;;;;;;;;;;;
Hill-Rom Holdings  Inc.;47518;SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841];2016;0.112;6100000;124100000;;138300000;;48400000;-28300000;-1300000;124100000;;-1.40E+07;;;2900000;230300000;;1257000000;;;94500000;;15500000;;;95800000;-1300000;122800000;;138300000;;;;1209400000
HORMEL FOODS CORP /DE/;48465;MEAT PACKING PLANTS [2011];2016;0.324;;;;1317215000;;;-70895000;205000;890052000;;;38685000;;;1323895000;;;;;819622000;;426698000;;;819417000;465000;890517000;;;;;;
CENTERPOINT ENERGY HOUSTON ELECTRIC LLC;48732;ELECTRIC SERVICES [4911];2015;0.357;;261000000;-84000000;406000000;;1.42E+08;;;261000000;;;;-11000000;14000000;608000000;;;;;;;145000000;;;;;261000000;;;;;;
HUBBELL INCORPORATED;48898;ELECTRONIC COMPONENTS & ACCESSORIES [3670];2015;0.326;;277300000;;418600000;;;-59900000;4800000;277300000;;;;;;474600000;;1091800000;;;222200000;;136500000;;;217400000;4800000;282100000;;418600000;;;;
AMERICAN ELECTRIC POWER CO INC;4904;ELECTRIC SERVICES [4911];2015;0.342087642;;2047100000;;;;940900000;-30000000;5200000;;;;65300000;-24500000;;;;;;283700000;2022300000;;919600000;;;2017100000;5200000;2052300000;;;;;;
AMERICAN EXPRESS CO;4962;FINCE SERVICES [6199];2015;0.35;;;;;;;-615000000;;;;3.00E+09;;;;;;;;;;;;;;;;;;;;;;
AMERICAN EXPRESS CREDIT CORPORATION;4969;SHORT-TERM BUSINESS CREDIT INSTITUTIONS [6153];2015;0.151;;;;252000000;;;-369000000;;214000000;503000000;1.60E+09;;;;;;;;;-155000000;755000000;38000000;;;-155000000;;214000000;;252000000;;;;
IEC ELECTRONICS CORP;49728;PRINTED CIRCUIT BOARDS [3672];2016;0.015;;;;4856000;;;;;4786000;;;;;;6248000;;20287000;;0;;127010000;70000;;;;;4786000;;4856000;;;;106723000
DineEquity  Inc.;49754;RETAIL-EATING PLACES [5812];2015;0.378;;103523000;;168649000;;;-34000;;104923000;;;;;;;;399006000;;;104889000;681100000;63726000;;;104889000;;104923000;;168649000;;;;282094000
ILLINOIS TOOL WORKS INC;49826;GENERAL INDUSTRIAL MACHINERY & EQUIPMENT [3560];2015;0.301;;;;;;;;;;;;-4000000;;;;;;;0;1053000000;;820000000;;;;;1899000000;;;;;;
IEH CORPORATION;50292;ELECTRONIC CONNECTORS [3678];2016;0.46;;;;3122789;;;;;1690110;16236310;;;;;3121936;;;;;;19358246;1432679;;;;;1690110;;;;;;12831775
GRIFFON CORP;50725;METAL DOORS, SASH, FRAMES, MOLDING & TRIM [3442];2016;0.436;;;;53164000;;;9947000;;30010000;;;0;;;103507000;;473434000;;;39957000;1957161000;23154000;;369927000;39957000;;30010000;;53164000;;;;1483727000
Intel Corporation;50863;SEMICONDUCTORS & RELATED DEVICES [3674];2015;0.196;;;;;;;-606000000;;;;;-95000000;;;;;;;;;;;;;;;;;;;;;
INTERTIOL BUSINESS MACHINES CORP;51143;COMPUTER & OFFICE EQUIPMENT [3570];2015;0.16;;;;;;;-1731000000;;;;;;;;;;;;-174000000;;;;;;;;;;;;;;
INTERTIOL FLAVORS & FRAGRANCES INC;51253;INDUSTRIAL ORGANIC CHEMICALS [2860];2015;0.222;;419247000;;539101000;;;;;419247000;;;;;;588347000;;1351599000;;;346238000;;119854000;;;346238000;;419247000;;539101000;;;;1671590000
INTERTIOL PAPER CO /NEW/;51434;PAPER MILLS [2621];2015;0.37;15000000;938000000;;1266000000;;4.43E+08;-1068000000;6000000;938000000;;-4.40E+07;117000000;6000000;27000000;;;;;0;-151000000;;466000000;8000000;;-124000000;-21000000;917000000;;1266000000;;;;
INTERTIOL SPEEDWAY CORP;51548;SERVICES-RACING, INCLUDING TRACK OPERATION [7948];2015;0.377;;56634000;;;;;;;56634000;559793000;;14060000;;;85577000;;;;;57292000;647469000;34308000;;;57292000;;56634000;;;;;;
AMERICAN INTERTIOL GROUP INC;5272;FIRE, MARINE & CASUALTY INSURANCE [6331];2015;0.323;;;;;;1.15E+12;;20000000;;;-5.80E+07;;;34000000;;;;;0;;;1059000000;;;;;;195000000;;;;;
RAYONIER INC.;52827;REAL ESTATE INVESTMENT TRUSTS [6798];2015;0.02;;46165000;;77784000;;15079000;-39479000;-13027000;46165000;467090000;-1097000;0;-5000;;77784000;;;;0;4462000;544874000;-859000;;;17489000;-2224000;43941000;;77784000;;;;441099000
JACOBS ENGINEERING GROUP INC /DE/;52988;HEAVY CONSTRUCTION OTHER THAN BUILDING CONST - CONTRACTORS [1600];2016;0.252;;;;286723000;;98935000;-145830000;4052000;210463000;;11337000;11892000;-3348000;7853000;338598000;;;;;68685000;;72208000;;;64633000;4052000;214515000;1449000;286723000;;;;
KANSAS CITY SOUTHERN;54480;RAILROADS, LINE-HAUL OPERATING [4011];2015;0.278;;483300000;;672600000;;235400000;-1500000;1800000;483500000;;-17800000;18300000;;10300000;803800000;;;;;483800000;;187300000;;1615000000;482000000;1800000;485300000;;;;;;
WESTAR ENERGY INC /KS\n;54507;ELECTRIC & OTHER SERVICES COMBINED [4931];2015;0.335;;;;453796000;;;;;291929000;1838167000;;;;;620997000;;;;;;;152000000;;;;9867000;301796000;;;;;;
KELLOGG CO;55067;GRAIN MILL PRODUCTS [2040];2015;0.206;;;;773000000;;;-164000000;;614000000;;;0;;;1091000000;;;;;450000000;;159000000;;;451000000;0;614000000;;773000000;;;;
Unum Group;5513;ACCIDENT & HEALTH INSURANCE [6321];2015;0.3;;;;1238300000;;;-150300000;;867100000;;;;;;;;;;;716800000;;371200000;;;716800000;;867100000;;1238300000;;;;
KENMETAL INC;55242;MACHINE TOOLS, METAL CUTTING TYPES [3541];2016;-0.127;;-225968000;;-198571000;;-69500000;-112690000;896000;-225968000;;-25469000;;;859000;-174943000;;616067000;;;-336574000;2098436000;25313000;;494975000;-337470000;2084000;-223884000;;-198571000;;;;1482369000
KIMBALL INTERTIOL INC;55772;PRINTED CIRCUIT BOARDS [3672];2016;0.366;;21156000;;33390000;;11686000;82000;;21156000;;;;;1043000;33497000;;203804000;;0;21238000;635102000;12234000;;;21238000;;21156000;;33390000;;;;431298000
KIMBERLY CLARK CORP;55785;CONVERTED PAPER & PAPERBOARD PRODS (NO CONTAINERS/BOXES) [2670];2015;0.313;;1013000000;;1335000000;;;25000000;33000000;1013000000;;;149000000;;;1613000000;;;;0;1091000000;;418000000;;;1058000000;53000000;1066000000;;1335000000;;;;
KIRBY CORP;56047;WATER TRANSPORTATION [4400];2015;0.37;;225339000;;361712000;;;16351000;;226684000;1766870000;;451000;;;380662000;;;;;244321000;;133742000;;;243035000;1286000;227970000;;361712000;;;;
KORN FERRY INTERTIOL;56679;SERVICES-EMPLOYMENT AGENCIES [7361];2016;0.389;;30633000;;48762000;;;;512000;30913000;;;1631000;;;52692000;;;;;14137000;1346714000;18960000;;1294022000;13625000;520000;31433000;;48762000;;;;59824000
KROGER CO;56873;RETAIL-GROCERY STORES [5411];2015;0.338;;2039000000;;;;;132000000;10000000;2039000000;;;;;;;;;;;;;1045000000;;;;10000000;2049000000;;;;;;
KULICKE & SOFFA INDUSTRIES INC;56978;SEMICONDUCTORS & RELATED DEVICES [3674];2016;0.14;;47112000;;54750000;;19163000;;;47112000;;-7330000;;;996000;52539000;;286729000;;;45483000;627192000;7638000;;234190000;45483000;;47112000;;;;;;340463000
LA-Z-BOY INC;57131;HOUSEHOLD FURNITURE [2510];2016;0.353;;78851000;;125043000;;;-2456000;1116000;79252000;;;;;;122389000;;582036000;;;78507000;1525398000;44080000;;;77391000;1711000;80963000;;;;;;943362000
LANCASTER COLONY CORP;57515;CANNED, FROZEN & PRESERVED FRUIT, VEG & FOOD SPECIALTIES [2030];2016;0.341;;121764000;;184633000;;;;;121764000;;;;;;184570000;;299629000;;0;120471000;;62869000;;;120471000;;121764000;;184633000;;;;891480000
SNYDER'S-LANCE  INC.;57528;COOKIES & CRACKERS [2052];2015;0.363;;50548000;;79603000;;;377000;33000;50685000;;;;;;90456000;;579289000;;0;51095000;;28885000;;;51062000;33000;50718000;;;;;;1077110000
LANNETT CO INC;57725;PHARMACEUTICAL PREPARATIONS [2834];2016;0.279;;44782000;;62179000;;;;75000;;;;;;;130758000;;286493000;;;44857000;542493000;17322000;;155735000;44782000;75000;44857000;;62179000;;;;
Lee Enterprises  Inc.;58361;NEWSPAPERS;2016;0.38;;;;;;;-6503000;;34961000;;;8533000;;;103997000;;;;;28458000;614364000;22176000;;518900000;28458000;1058000;36019000;;;;;;
LEGGETT & PLATT INC;58492;HOUSEHOLD FURNITURE [2510];2015;0.271;;325100000;;449800000;;;-89000000;3600000;325100000;;;;;;;;923200000;;1200000;240200000;;121800000;;;236600000;4100000;329200000;;449800000;;;;
LINCOLN ELECTRIC HOLDINGS INC;59527;METALWORKING MACHINERY & EQUIPMENT [3540];2015;0.2496;;127478000;;169787000;;59426000;-8268000;-689000;;;-8499000;3015000;11396000;1868000;181700000;;841144000;;;119144000;;42375000;;;119833000;-66000;127412000;;;;;;1694647000
LINCOLN TIOL CORP;59558;LIFE INSURANCE [6311];2015;0.19;26000000;1154000000;;1430000000;;5.01E+08;;;1154000000;;;;;;;;;;;-1097000000;;276000000;;;-1097000000;;1154000000;-2000000;1430000000;;;;
LOUISIA-PACIFIC CORP;60519;LUMBER & WOOD PRODUCTS (NO FURNITURE) [2400];2015;-0.03;;;;-95400000;;;-14800000;;-88100000;1955800000;;6700000;;;-63300000;;;;-2100000;-102900000;1892500000;-2700000;;;-102900000;;-88100000;;-95400000;;;;1682700000
LOWES COMPANIES INC;60667;RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS [5211];2015;0.424;;;;;;;-291000000;;;;;-591000000;;;;;;;;;;1873000000;;;;;;;;;;;
LYDALL INC /DE/;60977;MOTOR VEHICLE PARTS & ACCESSORIES [3714];2015;0.349;;46259000;;71023000;;;-10424000;;46259000;;-1.00E+06;;;;52477000;;122497000;;;35835000;524505000;24764000;;;35835000;;46259000;;71023000;;;;402008000
MAGELLAN PETROLEUM CORP /DE/;61398;CRUDE PETROLEUM & TURAL GAS [1311];2016;0;;-15228000;;-3328000;;-1131000;-390000;;-3328000;;-8000;;213000;-91000;-5339000;;;;-14249000;-17967000;;0;;5339000;-17967000;;-17577000;;-3328000;;;;
MANITOWOC CO INC;61986;CONSTRUCTION MACHINERY & EQUIP [3531];2015;-0.118;;63500000;;56600000;;;-77300000;0;;;;0;;;132500000;;;;0;-13800000;;-6700000;;;-13800000;0;63500000;;56600000;;;;
MARSH & MCLENN COMPANIES  INC.;62709;INSURANCE AGENTS BROKERS & SERVICES [6411];2015;0.291;;1599000000;;;;;-373000000;37000000;1599000000;;;;;;;;;;0;1263000000;;671000000;;;1226000000;37000000;1636000000;;;;;;
ALOGIC CORP;6284;INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGLS [3825];2016;0.4;;;;20300000;;1200000;;;12127000;;;;300000;;25213000;;228065000;;;8173000;508848000;8189000;;202852000;8173000;;12127000;;20300000;;;;275632000
MASCO CORP /DE/;62996;MILLWOOD, VENEER, PLYWOOD & STRUCTURAL WOOD MEMBERS [2430];2015;0.43;;350000000;;689000000;;;-68000000;25000000;355000000;;;;;;914000000;;;;-2000000;326000000;;293000000;;;301000000;39000000;394000000;;;;;;
MATTHEWS INTERTIOL CORP;63296;NONFERROUS FOUNDRIES (CASTINGS) [3360];2016;0.305;;66749000;;95234000;;;-31631000;;66749000;;;;;;118815000;;556454000;;;34530000;1480464000;29073000;;;;-588000;66161000;;95234000;;;;924010000
MCCORMICK & CO INC;63754;MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS [2090];2015;0.265;;401600000;;496200000;;;-221100000;;401600000;;;36700000;;;548400000;;1737300000;;;181000000;;131300000;;;181000000;-500000;401600000;;496200000;;;;
MCDOLDS CORP;63908;RETAIL-EATING PLACES [5812];2015;0.309;;;;;;;-1360100000;;;;;-146800000;;;;;;;;;;2026400000;;;;;;;;;;;
MECHANICAL TECHNOLOGY INC;64463;MEASURING & CONTROLLING DEVICES, NEC [3829];2015;0.92;;-2832000;;-1472000;;;;;-2832000;;;;;;-1470000;;;;;;;1360000;;;;;-2832000;;;;;;2475000
GENCOR INDUSTRIES INC;64472;CONSTRUCTION MACHINERY & EQUIP [3531];2016;0.252;;;;9400000;;;;;7043000;62175000;;;;;7816000;;;;;;;2357000;;;;;7043000;;;;;;52466000
MEREDITH CORP;65011;PERIODICALS;2016;0.692;;33937000;;110207000;;;;;33937000;1519019000;;;;;130609000;;;;;18084000;1649628000;76270000;;;18084000;;33937000;;;;;;
METHODE ELECTRONICS INC;65270;ELECTRONIC CONNECTORS [3678];2016;0.237;;;;110900000;;38900000;;0;84600000;;-11900000;;;400000;109700000;;212900000;;;84500000;809100000;26300000;;;84500000;0;84600000;100000;110900000;;;;596200000
EnviroStar  Inc.;65312;SERVICES-PERSOL SERVICES [7200];2016;0.377;;1740040;;2793180;;949681;;;1740040;;;;2067;101392;2790921;;;;;;36015641;1053140;;33224720;;;1740040;;;;;;27803920
MILLER HERMAN INC;66382;OFFICE FURNITURE [2520];2016;0.303;;;;196600000;;68800000;-8300000;800000;136700000;;-4300000;400000;;5200000;211500000;;874200000;;;129200000;;59500000;;662700000;128400000;;137500000;200000;196600000;;;;1390700000
MSA SAFETY INCORPORATED;66570;ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES [3842];2015;0.4;;70807000;;111026000;;;;-4280000;70807000;1018896000;;;;;;;501103000;;1325000;25058000;1129922000;44407000;;;29338000;-2863000;67944000;;111026000;;;;629680000
3M Company;66740;SURGICAL & MEDICAL INSTRUMENTS & APPARATUS [3841];2015;0.291;;;26000000;;;;-72000000;6000000;;;;;;;;;;;;;;1982000000;;;;8000000;;;;;;;
ALLETE INC;66756;ELECTRIC & OTHER SERVICES COMBINED [4931];2015;0.152;37000000;;;166800000;;58400000;-3400000;400000;141100000;1275700000;;16300000;;4400000;210700000;;;;;138100000;1486400000;25300000;;333500000;137700000;400000;141500000;;;;;;302300000
MOCON INC;67279;MEASURING & CONTROLLING DEVICES, NEC [3829];2015;0.335;;2972000;;4459000;;;;;2972000;;;;;;4366000;;33224000;;;543000;61224000;1487000;;;543000;;2972000;;4459000;;;;28000000
MODINE MANUFACTURING CO;67347;MOTOR VEHICLE PARTS & ACCESSORIES [3714];2016;0.899;;-1600000;;-9900000;;;24300000;500000;-1600000;;;100000;;;-7500000;;223500000;;0;23300000;1352500000;-8900000;;;22800000;600000;-1000000;;-9900000;;;;1129000000
MDU RESOURCES GROUP INC;67716;MINING, QUARRYING OF NONMETALLIC MINERALS (NO FUELS) [1400];2015;0.364;;-623120000;;180297000;-194000;63104000;4955000;;;;;;;4903000;254133000;;;;-772385000;-652736000;;65603000;;;-617480000;-35256000;-657691000;;;;;;
MOOG INC.;67887;MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT [3590];2016;0.285;;126745000;;172860000;;;-93326000;;126745000;;;;;;238242000;;711583000;;;30307000;;49227000;;;33419000;-3112000;123633000;;;;;;1700354000
APOGEE ENTERPRISES  INC.;6845;GLASS PRODUCTS, MADE OF PURCHASED GLASS [3231];2016;0.329;;65342000;;97324000;;;;;65342000;;;;;;97393000;;243570000;;;56291000;79517000;31982000;;;56291000;;65342000;;;;;;737619000
Motorola Solutions  Inc.;68505;RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT [3663];2015;0.299;;;;917000000;;3.21E+08;-11000000;;610000000;;-4.60E+07;;;24000000;994000000;;;;-30000000;602000000;;274000000;;;599000000;3000000;613000000;;917000000;;;;
QWEST CORP;68622;TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE) [4813];2015;0.38;;1074000000;;1733000000;;;;;;;;;;;;;;;;;;659000000;;;;;1074000000;;;;;;
APPLIED MATERIALS INC /DE;6951;SEMICONDUCTORS & RELATED DEVICES [3674];2016;0.145;;1721000000;;2013000000;;;;;1721000000;;;;;;;;;;;1698000000;;292000000;;;1698000000;;1721000000;;2013000000;;;;
ACTUANT CORP;6955;MISC INDUSTRIAL & COMMERCIAL MACHINERY & EQUIPMENT [3590];2016;0.193;;-105174000;;-130344000;;;;;-105174000;;;;;;-100217000;;403397000;;;-143357000;1149410000;-25170000;;;-143357000;;-105174000;;-130344000;;;;746013000
PCO SECURITY TECHNOLOGIES  INC;69633;COMMUNICATIONS EQUIPMENT, NEC [3669];2016;0.06;;5773000;;6144000;;2089000;;;5773000;;1278000;;;20000;6323000;;27584000;;;;82513000;371000;;;;;5773000;;;;;;54929000
tiol Beverage Corp.;69891;BOTTLED & CANNED SOFT DRINKS CARBOTED WATERS [2086];2016;0.34;;60960000;;92705000;;;717000;;61198000;;;;;;;;241437000;;;61915000;704785000;31507000;;;61915000;;61198000;;92705000;;;;463348000
FULTON FINCIAL CORP;700564;TIOL COMMERCIAL BANKS [6021];2015;0.25;;149502000;;199423000;;;-4295000;;149502000;;;;;;;;;;;145207000;583789000;49921000;;;145207000;;149502000;;199423000;;;;
